time,bar_i,type,side,pnl,balance
2024-05-07 11:15:00,401,final,BUY,809.693650415611,10809.693650415611
2024-05-10 08:45:00,658,final,BUY,-309.57807132399466,10500.115579091616
2024-05-15 13:45:00,945,final,BUY,792.508589991885,11292.624169083501
2024-05-16 15:45:00,1042,final,BUY,-543.0858681830796,10749.538300900422
2024-05-23 09:30:00,1462,final,BUY,-468.7975616938639,10280.740739206558
2024-05-23 10:45:00,1467,final,SELL,899.6280582848703,11180.368797491428
2024-05-27 18:15:00,1655,final,BUY,-237.6136435768058,10942.755153914622
2024-06-03 10:30:00,2076,final,BUY,-357.3728525252591,10585.382301389363
2024-06-05 10:15:00,2253,final,BUY,470.5316253326237,11055.913926721987
2024-06-05 14:30:00,2270,final,BUY,630.5174604172498,11686.431387139237
2024-06-06 09:45:00,2340,final,BUY,-484.9933285321459,11201.438058607091
2024-06-12 15:30:00,2719,final,BUY,-691.9889146793503,10509.44914392774
2024-06-17 14:00:00,2980,final,BUY,716.8951429710796,11226.34428689882
2024-06-17 16:00:00,2988,final,BUY,-530.051629158479,10696.292657740341
2024-06-19 23:45:00,3177,final,BUY,194.90313485130173,10891.195792591643
2024-06-20 03:15:00,3191,final,BUY,232.7245136475176,11123.92030623916
2024-06-20 04:00:00,3194,final,BUY,-198.0628315555441,10925.857474683617
2024-06-28 09:00:00,3748,final,BUY,-276.67360412640846,10649.183870557208
2024-07-03 12:45:00,4030,final,BUY,-488.2206146770113,10160.963255880197
2024-07-08 18:00:00,4286,final,BUY,707.6514493580181,10868.614705238215
2024-07-10 09:30:00,4437,final,BUY,-265.58394265171955,10603.030762586495
2024-07-15 11:45:00,4713,final,BUY,-506.57429696475447,10096.45646562174
2024-07-31 13:30:00,5772,final,BUY,-748.5297388364779,9347.926726785263
2024-07-31 15:15:00,5779,final,BUY,-850.759937931798,8497.166788853465
2024-08-05 05:30:00,6006,final,BUY,-1902.1053608955117,6595.061427957953
2024-08-08 16:00:00,6315,final,BUY,2036.9218744747925,8631.983302432745
2024-08-13 12:15:00,6566,final,BUY,1107.2208957454131,9739.204198178159
2024-08-13 21:30:00,6596,final,BUY,1116.0075663122552,10855.211764490414
2024-08-13 22:15:00,6599,final,BUY,-601.0661776785128,10254.145586811901
2024-08-23 10:00:00,7269,final,BUY,768.4776857835459,11022.623272595447
2024-08-29 10:15:00,7626,final,BUY,-765.8476270436222,10256.775645551825
2024-08-29 13:45:00,7640,final,BUY,-889.4023729973924,9367.373272554432
2024-09-04 10:30:00,7970,final,BUY,1310.674738556263,10678.048011110695
2024-09-09 10:15:00,8236,final,BUY,-472.64759275640245,10205.400418354293
2024-09-09 10:45:00,8238,final,BUY,-470.2951205201316,9735.105297834161
2024-09-19 18:45:00,8974,final,BUY,-767.3102447742349,8967.795053059926
2024-09-26 09:00:00,9387,final,BUY,868.2167941531225,9836.011847213049
2024-09-26 09:30:00,9389,final,BUY,-374.6962811557387,9461.31556605731
2024-10-04 09:45:00,9924,final,BUY,-696.3315300442265,8764.984036013084
2024-10-09 15:30:00,10214,final,BUY,683.9275574615021,9448.911593474586
2024-10-14 09:30:00,10454,final,BUY,439.0603734579054,9887.971966932491
2024-10-15 15:00:00,10565,final,SELL,1286.5033938706256,11174.475360803117
2024-10-17 09:45:00,10722,final,BUY,-515.777040256944,10658.698320546173
2024-10-25 11:45:00,11231,final,BUY,-596.2883144106673,10062.410006135506
2024-10-29 14:15:00,11403,final,BUY,653.1474464946588,10715.557452630164
2024-10-30 07:45:00,11461,final,BUY,-441.39679198662634,10274.160660643538
2024-10-31 08:30:00,11553,final,BUY,-502.25163828254153,9771.909022360996
2024-11-05 14:45:00,11841,final,BUY,-643.035198562502,9128.873823798494
2024-11-06 00:00:00,11871,final,BUY,-774.5217989173761,8354.352024881118
2024-11-06 09:30:00,11909,final,BUY,1373.1087103857863,9727.460735266905
2024-11-07 11:45:00,12007,final,BUY,739.4639431939869,10466.924678460891
2024-11-08 00:30:00,12047,final,BUY,778.1144823475917,11245.039160808483
2024-11-18 10:30:00,12605,final,BUY,1156.370440740393,12401.409601548876
2024-12-02 10:45:00,13471,final,BUY,-439.5770308664214,11961.832570682454
2024-12-02 14:00:00,13484,final,BUY,-505.95306755327334,11455.879503129181
2024-12-04 09:00:00,13642,final,BUY,548.3665379834566,12004.246041112638
2024-12-04 09:30:00,13644,final,BUY,-231.00278288853588,11773.243258224102
2024-12-04 11:30:00,13652,final,BUY,-292.4436197491014,11480.799638475
2024-12-05 12:15:00,13744,final,BUY,502.7440158903847,11983.543654365385
2024-12-11 10:00:00,14091,final,BUY,556.6534440388205,12540.197098404205
2024-12-11 10:45:00,14094,final,BUY,-481.28718535484956,12058.909913049356
2024-12-12 08:00:00,14172,final,BUY,-574.0922314405179,11484.817681608838
2024-12-16 11:00:00,14362,final,BUY,543.7413514842046,12028.559033093043
2024-12-16 13:00:00,14370,final,BUY,584.6435137885056,12613.202546881548
2024-12-17 02:45:00,14418,final,BUY,-443.49828028272896,12169.70426659882
2024-12-20 15:30:00,14736,final,BUY,-1216.0698426573435,10953.634423941476
2024-12-24 12:15:00,14901,final,BUY,662.8510101817302,11616.485434123206
2024-12-26 03:15:00,14942,final,BUY,-543.7572368381007,11072.728197285105
2025-01-06 06:30:00,15489,final,BUY,970.8068971322792,12043.535094417384
2025-01-06 09:15:00,15500,final,BUY,-633.4753616628224,11410.059732754562
2025-01-06 12:30:00,15513,final,BUY,-644.1810264785454,10765.878706276017
2025-01-17 09:15:00,16274,final,BUY,899.9245823230741,11665.80328859909
2025-01-17 09:45:00,16276,final,BUY,-584.7799233889964,11081.023365210094
2025-01-17 13:00:00,16289,final,BUY,1290.030262658256,12371.05362786835
2025-01-27 07:15:00,16783,final,SELL,-1275.9998211622587,11095.053806706092
2025-01-27 10:30:00,16796,final,BUY,2295.4766812098023,13390.530487915894
2025-01-31 13:15:00,17163,final,BUY,-534.8198540907835,12855.71063382511
2025-02-10 18:15:00,17710,final,BUY,-853.7717147729564,12001.938919052154
2025-03-11 03:15:00,19517,final,BUY,1829.8235025316537,13831.762421583808
2025-03-12 08:45:00,19628,final,BUY,-789.0619090429391,13042.700512540869
2025-03-14 08:30:00,19805,final,BUY,925.8778362551311,13968.578348796
2025-04-10 13:00:00,21506,final,SELL,-2512.9574390154085,11455.620909780591
2025-04-21 21:45:00,22068,final,BUY,1445.1430049393093,12900.7639147199
2025-04-22 12:00:00,22125,final,BUY,1300.7991861789926,14201.563100898893
2025-04-25 06:30:00,22370,final,BUY,-1090.928730704436,13110.634370194457
2025-05-02 09:30:00,22827,final,BUY,-764.2931396485073,12346.34123054595
2025-05-14 12:30:00,23551,final,BUY,1214.7424181760289,13561.083648721979
2025-06-03 14:00:00,24786,final,BUY,-636.9358052474855,12924.147843474493
2025-06-06 10:15:00,25038,final,BUY,-604.7384306574168,12319.409412817076
2025-06-16 18:30:00,25598,final,BUY,-584.207613561448,11735.201799255628
2025-06-18 11:30:00,25755,final,BUY,-464.2909274444537,11270.910871811175
2025-06-20 10:15:00,25915,final,BUY,-515.8042532763284,10755.106618534846
2025-07-03 22:15:00,26744,final,BUY,-387.9354822677851,10367.171136267061
2025-07-18 01:00:00,27632,final,BUY,599.2721881072431,10966.443324374304
2025-07-21 12:00:00,27765,final,BUY,-463.32679359558824,10503.116530778716
2025-07-22 19:45:00,27878,final,SELL,-828.526935423106,9674.58959535561
2025-07-29 09:30:00,28289,final,BUY,412.0314114743451,10086.621006829955
2025-08-04 19:15:00,28677,final,BUY,989.238588329281,11075.859595159236
2025-08-06 14:30:00,28843,final,BUY,867.3277305805824,11943.187325739818
2025-08-07 09:30:00,28912,final,BUY,714.0453680187056,12657.232693758524
2025-08-13 10:00:00,29270,final,BUY,-511.8638949353045,12145.36879882322
2025-08-20 09:30:00,29713,final,BUY,-618.3460386453226,11527.022760177897
2025-08-22 11:15:00,29898,final,BUY,-877.9372340313058,10649.085526146591
2025-08-22 14:15:00,29910,final,BUY,-913.0668004344262,9736.018725712165
2025-09-03 10:45:00,30595,final,BUY,997.470779992218,10733.489505704383
2025-09-05 02:15:00,30739,final,BUY,833.8037881005221,11567.293293804905
2025-09-05 08:30:00,30764,final,BUY,-461.87091057428916,11105.422383230616
2025-09-23 09:30:00,31836,final,BUY,-422.52598116221634,10682.8964020684
2025-09-29 09:45:00,32193,final,BUY,694.8250543636823,11377.721456432082
2025-10-02 08:15:00,32454,final,BUY,549.5640145434663,11927.285470975548
2025-10-02 09:45:00,32460,final,BUY,-327.0715253996241,11600.213945575924
2025-10-06 09:30:00,32637,final,BUY,-494.93019083485706,11105.283754741067
2025-10-09 04:30:00,32884,final,BUY,-597.8079921236713,10507.475762617396
2025-10-10 13:00:00,33007,final,SELL,2421.1908554075126,12928.666618024909
2025-10-21 09:45:00,33617,final,BUY,-667.4247822062534,12261.241835818655
2025-10-27 14:45:00,33997,final,BUY,1066.0132617004274,13327.255097519082
2025-10-28 11:30:00,34073,final,BUY,1093.5603603659183,14420.815457885
2025-10-28 13:15:00,34080,final,BUY,611.6078572281549,15032.423315113156
2025-10-28 21:15:00,34105,final,BUY,647.4219915616413,15679.845306674797
2025-10-29 09:00:00,34152,final,BUY,767.2054425039823,16447.05074917878
2025-11-03 10:00:00,34419,final,BUY,-506.8573460806874,15940.193403098092
2025-11-04 10:45:00,34511,final,BUY,-649.2296498333963,15290.963753264696
2025-11-26 13:00:00,35944,final,BUY,-602.0395366865341,14688.924216578162
2025-12-15 09:45:00,37021,final,BUY,-468.6960238675965,14220.228192710565
2025-12-22 10:30:00,37469,final,BUY,-496.002106779597,13724.226085930968
2026-01-05 11:45:00,38174,final,BUY,995.557379587408,14719.783465518376
2026-01-15 09:15:00,38876,final,BUY,1125.6979202637012,15845.481385782077
2026-01-15 10:00:00,38879,final,BUY,-596.4255202071218,15249.055865574956
2026-01-16 10:00:00,38968,final,BUY,-330.8383663973291,14918.217499177626
2026-02-04 09:30:00,40110,final,BUY,-1420.4356796705179,13497.781819507109
2026-02-25 18:00:00,41459,final,BUY,1075.233304962967,14573.015124470076
2026-03-03 08:45:00,41785,final,BUY,-1139.7508819711948,13433.26424249888
2026-03-09 14:15:00,42167,final,BUY,2159.27008264116,15592.53432514004
2026-03-31 10:45:00,43560,final,BUY,-1194.966535255844,14397.567789884197
2026-04-01 08:45:00,43641,final,BUY,-750.6199331296739,13646.947856754523
2026-04-06 11:30:00,43830,final,BUY,-929.9224774060713,12717.025379348452
2026-04-08 04:45:00,43981,final,BUY,2454.20291954044,15171.228298888891
2026-04-13 10:45:00,44272,final,BUY,1607.6459744026579,16778.87427329155
2026-04-13 15:45:00,44292,final,BUY,1747.9851891107683,18526.859462402317
2026-04-14 09:45:00,44357,final,BUY,1832.0626407124657,20358.922103114783
2026-04-14 19:30:00,44389,final,BUY,1030.256327046336,21389.17843016112
2026-04-16 06:30:00,44522,final,BUY,-691.1246870497052,20698.053743111413
2026-04-17 08:45:00,44620,final,BUY,631.2370511291011,21329.290794240515
2026-04-24 09:30:00,45068,final,BUY,-1016.6672610866954,20312.62353315382
2026-05-05 20:15:00,45727,final,BUY,-871.9674469831081,19440.65608617071
2026-05-07 11:15:00,45876,final,BUY,-632.3402187812826,18808.31586738943
2026-05-08 12:15:00,45969,final,BUY,1252.578727404325,20060.894594793754
2026-05-08 15:45:00,45983,final,BUY,1254.6362812024017,21315.530875996155
2026-05-11 09:30:00,46047,final,BUY,1437.5799462336363,22753.11082222979
2026-05-26 11:15:00,47020,final,BUY,-618.8353834303052,22134.275438799486
2026-05-27 08:15:00,47097,final,BUY,896.7216843702772,23030.997123169764
2026-06-07 20:15:00,47758,final,SELL,-1674.7095379232271,21356.287585246537
2026-06-07 21:30:00,47763,final,BUY,-1973.4839619101333,19382.803623336404
2026-06-15 11:15:00,48262,final,BUY,1356.558250353446,20739.36187368985
2026-06-15 18:15:00,48283,final,BUY,-895.6308013890521,19843.731072300798
